age,education,black,hispanic,married,nodegree,re74,re75,treat,re78
37,11,1,0,1,1,0,0,1,9930.05
22,9,0,1,0,1,0,0,1,3595.89
30,12,1,0,0,0,0,0,1,24909.45
27,11,1,0,0,1,0,0,1,7506.15
33,8,1,0,0,1,0,0,1,289.79
22,9,1,0,0,1,0,0,1,4056.49
23,12,1,0,0,0,0,0,1,0
32,11,1,0,0,1,0,0,1,8472.16
22,16,1,0,0,0,0,0,1,2164.02
33,12,0,0,1,0,0,0,1,12418.07
19,9,1,0,0,1,0,0,1,8173.91
21,13,1,0,0,0,0,0,1,17094.64
18,8,1,0,0,1,0,0,1,0
27,10,1,0,1,1,0,0,1,18739.93
17,7,1,0,0,1,0,0,1,3023.88
19,10,1,0,0,1,0,0,1,3228.50
27,13,1,0,0,0,0,0,1,14581.86
23,10,1,0,0,1,0,0,1,7693.40
40,12,1,0,0,0,0,0,1,10804.32
26,12,1,0,0,0,0,0,1,10747.35
23,11,1,0,0,1,0,0,1,0
41,14,0,0,0,0,0,0,1,5149.50
38,9,0,0,0,1,0,0,1,6408.95
24,11,1,0,0,1,0,0,1,1991.40
18,10,1,0,0,1,0,0,1,11163.17
29,11,1,0,1,1,0,0,1,9643.00
25,11,1,0,0,1,0,0,1,9897.05
27,10,0,1,0,1,0,0,1,11142.87
17,10,1,0,0,1,0,0,1,16218.04
24,11,1,0,0,1,0,0,1,995.70
17,10,1,0,0,1,0,0,1,0
48,4,1,0,0,1,0,0,1,6551.59
25,11,1,0,1,1,0,0,1,1574.42
20,12,1,0,0,0,0,0,1,0
25,12,1,0,0,0,0,0,1,3191.75
42,14,1,0,0,0,0,0,1,20505.93
25,5,1,0,0,1,0,0,1,6181.88
23,12,1,0,1,0,0,0,1,5911.55
46,8,1,0,1,1,0,0,1,3094.16
24,10,1,0,0,1,0,0,1,0
21,12,1,0,0,0,0,0,1,1254.58
19,9,0,0,0,1,0,0,1,13188.83
17,8,1,0,0,1,0,0,1,8061.48
18,8,0,1,1,1,0,0,1,2787.96
20,11,1,0,0,1,0,0,1,3972.54
25,11,1,0,1,1,0,0,1,0
17,8,1,0,0,1,0,0,1,0
17,9,1,0,0,1,0,0,1,0
25,5,1,0,0,1,0,0,1,12187.41
23,12,1,0,0,0,0,0,1,4843.18
28,8,1,0,0,1,0,0,1,0
31,11,1,0,1,1,0,0,1,8087.49
18,11,1,0,0,1,0,0,1,0
25,12,1,0,0,0,0,0,1,2348.97
30,11,1,0,1,1,0,0,1,590.78
17,10,1,0,0,1,0,0,1,0
37,9,1,0,0,1,0,0,1,1067.51
41,4,1,0,1,1,0,0,1,7284.99
42,14,1,0,1,0,0,0,1,13167.52
22,11,0,0,0,1,0,0,1,1048.43
17,8,1,0,0,1,0,0,1,0
29,8,1,0,0,1,0,0,1,1923.94
35,10,1,0,0,1,0,0,1,4666.24
27,11,1,0,0,1,0,0,1,549.30
29,4,1,0,0,1,0,0,1,762.91
28,9,1,0,0,1,0,0,1,10694.29
27,11,1,0,0,1,0,0,1,0
23,7,0,0,0,1,0,0,1,0
45,5,1,0,1,1,0,0,1,8546.71
29,13,1,0,0,0,0,0,1,7479.66
27,9,1,0,0,1,0,0,1,0
46,13,1,0,0,0,0,0,1,647.20
18,6,1,0,0,1,0,0,1,0
25,12,1,0,0,0,0,0,1,11965.81
28,15,1,0,0,0,0,0,1,9598.54
25,11,0,0,0,1,0,0,1,18783.35
22,12,1,0,0,0,0,0,1,18678.08
21,9,1,0,0,1,0,0,1,0
40,11,1,0,0,1,0,0,1,23005.60
22,11,1,0,0,1,0,0,1,6456.70
25,12,1,0,0,0,0,0,1,0
18,12,1,0,0,0,0,0,1,2321.11
38,12,0,0,0,0,0,0,1,4941.85
